epoch,eval_loss,eval_accuracy,layer,prompt
1.0,0.13351166248321533,0.95,-2,subj_4
2.0,0.12697842717170715,0.955,-2,subj_4
1.0,0.1306857019662857,0.9515,-1,subj_4
2.0,0.1327902376651764,0.955,-1,subj_4
1.0,0.13138137757778168,0.9485,0,subj_4
2.0,0.13769757747650146,0.953,0,subj_4
1.0,0.13064005970954895,0.953,1,subj_4
2.0,0.13926364481449127,0.9515,1,subj_4
1.0,0.14255569875240326,0.949,2,subj_4
2.0,0.13346153497695923,0.9525,2,subj_4
1.0,0.13038113713264465,0.952,3,subj_4
2.0,0.13265164196491241,0.9535,3,subj_4
1.0,0.1694151610136032,0.9335,4,subj_4
2.0,0.13504046201705933,0.949,4,subj_4
1.0,0.15875564515590668,0.942,5,subj_4
2.0,0.13711531460285187,0.9525,5,subj_4
1.0,0.16487953066825867,0.9375,6,subj_4
2.0,0.15046624839305878,0.945,6,subj_4
1.0,0.1458485871553421,0.9535,7,subj_4
2.0,0.12930676341056824,0.956,7,subj_4
1.0,0.1369820386171341,0.95,8,subj_4
2.0,0.12753164768218994,0.955,8,subj_4
1.0,0.14651882648468018,0.944,9,subj_4
2.0,0.13719268143177032,0.9485,9,subj_4
1.0,0.15342867374420166,0.9435,10,subj_4
2.0,0.14343206584453583,0.947,10,subj_4
1.0,0.151797354221344,0.9415,11,subj_4
2.0,0.15521712601184845,0.9465,11,subj_4
